,0
0,0.365174759489
1,0.130461097988
2,0.130461097988
3,0.0867605902576
4,0.156016590723
5,0.156016590723
6,0.124072224804
7,0.162405463906
8,0.130461097988
9,0.149627717539
10,0.200738703009
11,0.149627717539
12,0.271016308029
13,0.130461097988
14,0.0601834929673
15,0.0601834929673
16,0.0857389857021
17,0.111294478437
18,0.156016590723
19,0.124072224804
20,0.0601834929673
21,0.143238844355
22,0.124072224804
23,0.0857389857021
24,0.187960956641
25,0.226294195743
26,0.143238844355
27,0.124072224804
28,0.175183210274
29,0.130461097988
30,0.200738703009
31,0.187960956641
32,0.0985167320695
33,0.187960956641
34,0.296571800764
35,0.130461097988
36,0.130461097988
37,0.111294478437
38,0.264627434846
39,0.162405463906
40,0.162405463906
41,0.066572366151
42,0.149627717539
43,0.111294478437
44,0.194349829825
45,0.334905039866
46,0.136849971172
47,0.0729612393347
48,0.21990532256
49,0.271016308029
50,0.066572366151
51,0.207127576192
52,0.207127576192
53,0.0793501125184
54,0.143238844355
55,0.136849971172
56,0.0228718584207
57,0.149627717539
58,0.130461097988
59,0.162405463906
60,0.066572366151
61,0.136849971172
62,0.149627717539
63,0.181572083458
64,0.16879433709
65,0.16879433709
66,0.149627717539
67,0.207127576192
68,0.0346280002326
69,0.117683351621
70,0.136849971172
71,0.136849971172
72,0.136849971172
73,0.0985167320695
74,0.00907250749779
75,0.066572366151
76,0.066572366151
77,0.194349829825
78,0.200738703009
79,0.0985167320695
80,0.232683068927
81,0.130461097988
82,0.156016590723
83,0.162405463906
84,0.226294195743
85,0.187960956641
86,0.0793501125184
87,0.136849971172
88,0.0346280002326
89,0.181572083458
90,0.124072224804
91,0.0793501125184
92,0.0793501125184
93,0.136849971172
94,0.309349547131
95,0.328516166683
96,0.194349829825
97,0.181572083458
98,0.143238844355
99,0.111294478437
100,0.0985167320695
101,0.130461097988
102,0.111294478437
103,0.111294478437
104,0.16879433709
105,0.111294478437
106,0.130461097988
107,0.232683068927
108,0.117683351621
109,0.111294478437
110,0.130461097988
111,0.0921278588858
112,0.0921278588858
113,0.016482985237
114,0.130461097988
115,0.0282391270489
116,0.0985167320695
117,0.130461097988
118,0.066572366151
119,0.181572083458
120,0.162405463906
121,0.066572366151
122,0.162405463906
123,0.117683351621
124,0.130461097988
125,0.0537946197836
126,0.104905605253
127,0.111294478437
128,0.117683351621
129,0.239071942111
130,0.117683351621
131,0.271016308029
132,0.271016308029
133,0.207127576192
134,0.124072224804
135,0.0921278588858
